尊い,尊いニャ
です。,ですニャ。
ます。,ますニャ。
でした。,たニャ。
ました。,
だった。,だったニャ。
だ。,だニャ。
なりません。,
緑,ミドリちゃん
透明,ウスイロちゃん
透過色,
感動,感動ニャ
違う,違うの違うの
思いました,思ったものニャ
思った,
思う,思うニャ
思われる,
そうだ,そうニャ
その通りだ,
そのとおりだ,
同意,
イケメン,何気に音も良いのニャ
美男子,
ダメンズ,この子を育てるために生まれてきたんだと思ったものニャ
パチンカス,
ヒモ,
ブサメン,ｹﾞﾎｯｹﾞﾎｯすごい濃度の赤霧にゃ…
ブサイク,
不細工,
ブ男,
銭湯,外食ニャ,https://twitter.com/hologon15/status/1115683825097424896
温泉,
噴水の水,
噴水の水道水,
不思議,ミステリアス
意味不明,
想定外,
不可知,
レディースサイズ,一番小さいので良いニャ,https://twitter.com/sasizume_S/status/1116325363288686593
並盛,
中盛,
特盛,
メガ盛,
牛丼,
電車,車輪のついた大きな箱
新幹線,
機関車,
列車,
バス,
自動車,
